experiment,split,target_model,compared_model,alternative,n_pairs,mean_target,mean_compared,mean_diff_target_minus_compared,W_stat,p_value,p_bonferroni,reject_bonf_0.05
ablation,valid,SE_MDTCN,SE_MDTCN_wDWConvSpatialFilter2D,greater,15,0.7811111187934875,0.656444452603658,0.12466666618982952,120.0,3.0517578125e-05,0.00018310546875,True
ablation,valid,SE_MDTCN,SE_MDTCN_woElectrodeNormalization,greater,15,0.7811111187934875,0.7200000111262004,0.061111107667287175,120.0,3.0517578125e-05,0.00018310546875,True
ablation,valid,SE_MDTCN,SE_MDTCN_wZScoreNormalization,greater,15,0.7811111187934875,0.7555555637677512,0.025555555025736462,119.0,6.103515625e-05,0.0003662109375,True
ablation,valid,SE_MDTCN,SE_MDTCN_wTemporalFilter2D,greater,15,0.7811111187934875,0.6631111248334247,0.11799999396006267,120.0,0.00032665539070756886,0.001959932344245413,True
ablation,valid,SE_MDTCN,SE_MDTCN_woSpatialFilter,greater,15,0.7811111187934875,0.7504444575309753,0.0306666612625122,111.0,0.001007080078125,0.00604248046875,True
ablation,valid,SE_MDTCN,SE_MDTCN_woTemporalFilter,greater,15,0.7811111187934875,0.7655555621782939,0.015555556615193684,100.5,0.0012890812506278343,0.0077344875037670055,True
ablation,test,SE_MDTCN,SE_MDTCN_wDWConvSpatialFilter2D,greater,15,0.7440000000000001,0.578,0.166,120.0,0.00032665539070756886,0.001959932344245413,True
ablation,test,SE_MDTCN,SE_MDTCN_wTemporalFilter2D,greater,15,0.7440000000000001,0.5873333333333334,0.1566666666666666,120.0,0.00032665539070756886,0.001959932344245413,True
ablation,test,SE_MDTCN,SE_MDTCN_woElectrodeNormalization,greater,15,0.7440000000000001,0.648,0.09600000000000003,104.0,0.000610806004725314,0.0036648360283518836,True
ablation,test,SE_MDTCN,SE_MDTCN_woTemporalFilter,greater,15,0.7440000000000001,0.7026666666666667,0.04133333333333332,110.0,0.002252977795132366,0.013517866770794196,True
ablation,test,SE_MDTCN,SE_MDTCN_wZScoreNormalization,greater,15,0.7440000000000001,0.7053333333333333,0.03866666666666665,93.0,0.005484248282112365,0.03290548969267419,True
ablation,test,SE_MDTCN,SE_MDTCN_woSpatialFilter,greater,15,0.7440000000000001,0.6953333333333335,0.048666666666666664,103.0,0.007278404903749828,0.04367042942249897,True
